city,event_id,t,intervention,n_tokens,total_value,score_id,description,spearman,top10_value_capture,top10_ndcg,top10_precision
Austin,478,7,S,45,2.45522288069,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9990777338603425,1.0,1.0,1.0
Austin,478,7,S,45,2.45522288069,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,478,8,C,34,1.70854211106,S0_efficiency_only,within-channel calibrated efficiency per cost only,-1.0,0.1343202253890863,0.10550778637386618,0.0
Austin,478,8,C,34,1.70854211106,S1_deficit_only,within-channel local/access deficit only,1.0,1.0,1.0,1.0
Austin,478,8,C,34,1.70854211106,S2_exposure_only,within-channel OD exposure only,1.0,1.0,1.0,1.0
Austin,478,8,C,34,1.70854211106,S3_structure_only,within-channel static OD structure only,0.07318563789152024,0.5908335492286081,0.5504498614611586,0.0
Austin,478,8,C,34,1.70854211106,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",1.0,1.0,1.0,1.0
Austin,478,8,C,34,1.70854211106,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,478,8,S,40,2.28855602906,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.2581613508442777,0.35588579786002444,0.29358209858152934,0.0
Austin,478,8,S,40,2.28855602906,S1_deficit_only,within-channel local/access deficit only,-0.007317073170731709,0.6849530253070624,0.6697917582102688,0.25
Austin,478,8,S,40,2.28855602906,S2_exposure_only,within-channel OD exposure only,0.998874296435272,1.0,1.0,1.0
Austin,478,8,S,40,2.28855602906,S3_structure_only,within-channel static OD structure only,-0.30544090056285184,0.5097763266710125,0.5127766404517418,0.0
Austin,478,8,S,40,2.28855602906,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.998874296435272,1.0,1.0,1.0
Austin,478,8,S,40,2.28855602906,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,478,9,C,29,1.211703215716,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.9999999999999998,0.09457967197295675,0.07853959791682684,0.0
Austin,478,9,C,29,1.211703215716,S1_deficit_only,within-channel local/access deficit only,0.9999999999999998,1.0,1.0,1.0
Austin,478,9,C,29,1.211703215716,S2_exposure_only,within-channel OD exposure only,0.9999999999999998,1.0,1.0,1.0
Austin,478,9,C,29,1.211703215716,S3_structure_only,within-channel static OD structure only,0.08620689655172412,0.7719542923377956,0.6649003682872466,0.3333333333333333
Austin,478,9,C,29,1.211703215716,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9999999999999998,1.0,1.0,1.0
Austin,478,9,C,29,1.211703215716,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999998,1.0,1.0,1.0
Austin,478,9,S,38,1.9741411929400001,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.5710690447532553,0.3257699913851322,0.29670246055335725,0.0
Austin,478,9,S,38,1.9741411929400001,S1_deficit_only,within-channel local/access deficit only,0.16839916839916838,0.783176351414316,0.7344962424211681,0.5
Austin,478,9,S,38,1.9741411929400001,S2_exposure_only,within-channel OD exposure only,0.999124630703578,1.0,1.0,1.0
Austin,478,9,S,38,1.9741411929400001,S3_structure_only,within-channel static OD structure only,-0.19707829542000482,0.7256733292706559,0.6930450695388053,0.25
Austin,478,9,S,38,1.9741411929400001,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.999124630703578,1.0,1.0,1.0
Austin,478,9,S,38,1.9741411929400001,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,478,10,S,35,1.5064081263319997,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.5551820728291317,0.23640294518832086,0.20566979863205245,0.0
Austin,478,10,S,35,1.5064081263319997,S1_deficit_only,within-channel local/access deficit only,0.18011204481792717,0.8439756724805114,0.8472551439257585,0.75
Austin,478,10,S,35,1.5064081263319997,S2_exposure_only,within-channel OD exposure only,0.9994397759103643,1.0,1.0,1.0
Austin,478,10,S,35,1.5064081263319997,S3_structure_only,within-channel static OD structure only,-0.06554621848739496,0.560657047785285,0.5829383459366442,0.0
Austin,478,10,S,35,1.5064081263319997,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9994397759103643,1.0,1.0,1.0
Austin,478,10,S,35,1.5064081263319997,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,479,0,C,54,2.6556678545649994,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.9999999999999999,0.1910447466526376,0.1549947948754405,0.0
Austin,479,0,C,54,2.6556678545649994,S1_deficit_only,within-channel local/access deficit only,0.9999999999999999,1.0,1.0,1.0
Austin,479,0,C,54,2.6556678545649994,S2_exposure_only,within-channel OD exposure only,0.9999999999999999,1.0,1.0,1.0
Austin,479,0,C,54,2.6556678545649994,S3_structure_only,within-channel static OD structure only,-0.09990470745187725,0.5958072318903523,0.5584345729054958,0.0
Austin,479,0,C,54,2.6556678545649994,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9999999999999999,1.0,1.0,1.0
Austin,479,0,C,54,2.6556678545649994,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,479,1,C,52,2.512156254249,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.9999999999999999,0.10506384084921776,0.08498332404902512,0.0
Austin,479,1,C,52,2.512156254249,S1_deficit_only,within-channel local/access deficit only,0.9999999999999999,1.0,1.0,1.0
Austin,479,1,C,52,2.512156254249,S2_exposure_only,within-channel OD exposure only,0.9999999999999999,1.0,1.0,1.0
Austin,479,1,C,52,2.512156254249,S3_structure_only,within-channel static OD structure only,0.09980363698454708,0.5958072318507377,0.5584345728446094,0.0
Austin,479,1,C,52,2.512156254249,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9999999999999999,1.0,1.0,1.0
Austin,479,1,C,52,2.512156254249,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,479,1,S,49,2.419623652555,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.2304081632653061,0.36417459616785275,0.2960435729489916,0.0
Austin,479,1,S,49,2.419623652555,S1_deficit_only,within-channel local/access deficit only,0.0563265306122449,0.6382517380518645,0.5863074367167307,0.2
Austin,479,1,S,49,2.419623652555,S2_exposure_only,within-channel OD exposure only,0.9985714285714284,1.0,1.0,1.0
Austin,479,1,S,49,2.419623652555,S3_structure_only,within-channel static OD structure only,-0.2290816326530612,0.4776515713634195,0.4700834079778302,0.0
Austin,479,1,S,49,2.419623652555,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9985714285714284,1.0,1.0,1.0
Austin,479,1,S,49,2.419623652555,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,479,2,C,48,2.45735033426,S0_efficiency_only,within-channel calibrated efficiency per cost only,-1.0,0.16846096980977932,0.14996757701067231,0.0
Austin,479,2,C,48,2.45735033426,S1_deficit_only,within-channel local/access deficit only,1.0,1.0,1.0,1.0
Austin,479,2,C,48,2.45735033426,S2_exposure_only,within-channel OD exposure only,1.0,1.0,1.0,1.0
Austin,479,2,C,48,2.45735033426,S3_structure_only,within-channel static OD structure only,-0.13634389926183238,0.5723395429379055,0.5419245585339341,0.0
Austin,479,2,C,48,2.45735033426,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",1.0,1.0,1.0,1.0
Austin,479,2,C,48,2.45735033426,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,479,2,R,25,0.68003777535,S0_efficiency_only,within-channel calibrated efficiency per cost only,-1.0,0.09568472003980713,0.08839107872192258,0.0
Austin,479,2,R,25,0.68003777535,S1_deficit_only,within-channel local/access deficit only,1.0,1.0,1.0,1.0
Austin,479,2,R,25,0.68003777535,S2_exposure_only,within-channel OD exposure only,1.0,1.0,1.0,1.0
Austin,479,2,R,25,0.68003777535,S3_structure_only,within-channel static OD structure only,0.1523076923076923,0.691194001047373,0.7801675956814454,0.3333333333333333
Austin,479,2,R,25,0.68003777535,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",1.0,1.0,1.0,1.0
Austin,479,2,R,25,0.68003777535,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,479,2,S,51,2.4297159857,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.35610859728506783,0.37051965195567144,0.3503696311970515,0.0
Austin,479,2,S,51,2.4297159857,S1_deficit_only,within-channel local/access deficit only,0.040452488687782805,0.6685002194354099,0.6298240828330975,0.16666666666666666
Austin,479,2,S,51,2.4297159857,S2_exposure_only,within-channel OD exposure only,0.9986425339366516,0.9998694926024175,0.999918748381358,0.8333333333333334
Austin,479,2,S,51,2.4297159857,S3_structure_only,within-channel static OD structure only,-0.24561641672387446,0.5943316482863883,0.5754671758392037,0.0
Austin,479,2,S,51,2.4297159857,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9986425339366516,0.9998694926024175,0.999918748381358,0.8333333333333334
Austin,479,2,S,51,2.4297159857,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,479,3,C,52,2.4704784896289995,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.9999999999999999,0.10039578009177907,0.0793700615817301,0.0
Austin,479,3,C,52,2.4704784896289995,S1_deficit_only,within-channel local/access deficit only,0.9999999999999999,1.0,1.0,1.0
Austin,479,3,C,52,2.4704784896289995,S2_exposure_only,within-channel OD exposure only,0.9999999999999999,1.0,1.0,1.0
Austin,479,3,C,52,2.4704784896289995,S3_structure_only,within-channel static OD structure only,0.14334500128062835,0.5958072318420262,0.5584345728386706,0.0
Austin,479,3,C,52,2.4704784896289995,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9999999999999999,1.0,1.0,1.0
Austin,479,3,C,52,2.4704784896289995,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
