city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,baseline_objective,optimized_objective,lp_recoverable_fraction,static_replay_gain,static_replay_recoverable_fraction,static_fraction_of_base_lp_gain,static_selected_action_count,static_allocated_cost,event_peak_positive_abnormal_deficit,event_total_precip,residual_replay_gain,residual_replay_recoverable_fraction,residual_fraction_of_base_lp_gain,residual_selected_action_count,residual_allocated_cost,residual_value_proxy,residual_minus_static_fraction_of_base_lp_gain,residual_minus_static_recoverable_fraction,residual_relative_to_static_gain
Philadelphia,652,2023-07-19 06:00:00,delay_4h,1,4,0.08686271948,0.07461430067,0.1410089263,0.007569900916,0.08714786921,0.6180308687,1154,3.671382131,0.01343162498,0.05118113,0.00948640156,0.1092114271,0.7745000975,1536,3.671382131,0.1119423742,0.1564692288,0.02206355793,1.253173808
Philadelphia,653,2023-07-19 11:00:00,delay_4h,1,4,0.03839710662,0.03259505745,0.1511064161,0.002909711063,0.07577943546,0.5014971396,814,1.813802551,0.003021297138,0.005905515,0.00402361586,0.1047895588,0.6934818617,1157,1.813802551,0.1200381978,0.1919847221,0.0290101233,1.382823165
Philadelphia,654,2023-07-20 18:00:00,delay_4h,1,4,0.06758702171,0.05443101121,0.1946529106,0.008465024287,0.1252462984,0.6434339872,1154,4.265774354,0.01436661912,0.12992133,0.01024785573,0.1516246089,0.778948583,1753,4.265774354,0.1640999877,0.1355145958,0.02637831047,1.210611498
Philadelphia,655,2023-07-21 04:00:00,delay_4h,1,4,0.06696318033,0.05726466631,0.1448335335,0.00608772616,0.09091154467,0.627696794,1154,2.976763304,0.01436661912,0.273622195,0.007421359158,0.1108274595,0.7652057975,1654,2.976763304,0.115923138,0.1375090035,0.01991591486,1.219069151
Philadelphia,656,2023-07-25 15:00:00,delay_4h,1,4,0.1611150664,0.1383885504,0.1410576712,0.01428681859,0.08867462805,0.6286409474,1154,6.858020583,0.02881938331,0.50000027,0.01796964076,0.1115329631,0.7906905181,1617,6.858020583,0.1137540884,0.1620495707,0.02285833505,1.257777625
Philadelphia,657,2023-07-28 22:00:00,delay_4h,1,4,0.05620795867,0.04857938964,0.1357204427,0.003928173247,0.06988642426,0.5149292388,1062,2.3570468,0.01507816758,0.261811165,0.005461318733,0.09716273038,0.7159034294,1496,2.3570468,0.1068373162,0.2009741906,0.02727630612,1.390294773
Philadelphia,658,2023-07-29 09:00:00,delay_4h,1,4,0.0198147851,0.01730577306,0.126623227,0.002387078241,0.1204695498,0.9514016716,643,1.249107647,0.00879234695,0.01574804,0.002387078241,0.1204695498,0.9514016716,643,1.249107647,0.1278315465,-2.670419441e-11,4.194190828e-11,0.9999999999
Philadelphia,659,2023-07-29 19:00:00,delay_4h,1,4,0.046383602,0.03917984786,0.1553082087,0.005620676724,0.1211780992,0.78024272,944,2.079031254,0.00879234695,0.12598432,0.006110453597,0.1317373669,0.8482318356,1132,2.079031254,0.1318340714,0.06798911556,0.01055926774,1.087138417
San Antonio,491,2024-07-06 20:00:00,delay_4h,1,4,0.05846105751,0.05114948218,0.1250674491,0.003971162699,0.06792834183,0.5431336636,494,1.105040355,0.01636790638,0.6548559967,0.005333653975,0.0912343054,0.7294808205,700,1.105040355,0.09926756558,0.1863471569,0.02330596357,1.343096312
San Antonio,492,2024-07-09 16:00:00,delay_4h,1,4,0.09517465171,0.08343941316,0.1233021434,0.006184891557,0.06498465133,0.5270358613,536,1.797613118,0.02679911393,0.1666667567,0.008485848965,0.08916080923,0.7231083483,796,1.797613118,0.09696757067,0.196072487,0.0241761579,1.372028739
