city,event_id,policy_scenario,budget_scale,delay_add_hours,n_replans,mean_pass_cost,final_remaining_total
Philadelphia,644,delay_4h,1,4,10,0.5051169419,0
Philadelphia,645,delay_4h,1,4,10,0.3906858365,2.506675423e-16
Philadelphia,646,delay_4h,1,4,10,0.095363987,1.441338368e-15
Philadelphia,647,delay_4h,1,4,10,0.05188237906,0
Philadelphia,648,delay_4h,1,4,10,0.4075417135,9.777768872e-15
Philadelphia,649,delay_4h,1,4,10,0.3112940798,3.127055906e-15
Philadelphia,650,delay_4h,1,4,10,0.1140890303,1.078781162e-15
Philadelphia,651,delay_4h,1,4,10,0.4296730118,0
Philadelphia,652,delay_4h,1,4,10,0.3671382131,1.596054018e-14
Philadelphia,653,delay_4h,1,4,10,0.1813802551,2.834971841e-15
Philadelphia,654,delay_4h,1,4,10,0.4265774354,4.942444023e-15
Philadelphia,655,delay_4h,1,4,10,0.2976763304,2.569559149e-17
Philadelphia,656,delay_4h,1,4,10,0.6858020583,9.440365156e-15
Philadelphia,657,delay_4h,1,4,10,0.23570468,5.107242754e-15
Philadelphia,658,delay_4h,1,4,10,0.1249107647,5.889386201e-16
Philadelphia,659,delay_4h,1,4,10,0.2079031254,3.789069752e-15
San Antonio,491,delay_4h,1,4,10,0.1105040355,0
San Antonio,492,delay_4h,1,4,10,0.1797613118,1.927711463e-15
San Antonio,493,delay_4h,1,4,10,0.150392933,7.288007003e-16
San Antonio,494,delay_4h,1,4,10,0.2060033306,0
San Antonio,495,delay_4h,1,4,10,0.06324483959,1.593777194e-17
San Antonio,496,delay_4h,1,4,10,0.2210856024,2.756258763e-15
San Antonio,497,delay_4h,1,4,10,0.1422791377,1.380189366e-15
San Antonio,498,delay_4h,1,4,10,0.111701441,1.994931997e-17
San Antonio,499,delay_4h,1,4,10,0.04079995755,1.05818132e-16
San Antonio,500,delay_4h,1,4,10,0.3816707883,3.485059463e-15
San Antonio,501,delay_4h,1,4,10,0.3495324897,2.647188024e-15
San Antonio,502,delay_4h,1,4,10,0.3295700482,2.652825876e-15
San Antonio,503,delay_4h,1,4,10,0.1236696285,5.637851297e-17
San Antonio,504,delay_4h,1,4,10,0.1220918146,4.423544864e-17
San Antonio,505,delay_4h,1,4,10,0.1507392202,2.580401171e-17
San Antonio,506,delay_4h,1,4,10,0.01141558958,0
San Antonio,507,delay_4h,1,4,10,0.3560331357,1.702631092e-15
San Antonio,508,delay_4h,1,4,10,0.3263491779,0
San Antonio,509,delay_4h,1,4,10,0.1214792663,0
Austin,478,high_budget,2,0,10,0.2918286305,1.303211011e-16
Austin,479,high_budget,2,0,10,0.4053034871,3.039669211e-15
Austin,480,high_budget,2,0,10,0.2905821824,2.463307336e-16
Austin,481,high_budget,2,0,10,0.1248779867,0
Austin,482,high_budget,2,0,10,0.4234801434,1.696733032e-14
Austin,483,high_budget,2,0,10,0.2058111087,0
Austin,484,high_budget,2,0,10,0.2859239397,6.938893904e-18
Austin,485,high_budget,2,0,10,0.4255452024,0
Austin,486,high_budget,2,0,10,0.5766540447,4.822531263e-16
Austin,487,high_budget,2,0,10,0.4958726027,3.884913224e-15
Austin,488,high_budget,2,0,10,0.1905494767,0
Austin,489,high_budget,2,0,10,0.08881987322,0
Austin,490,high_budget,2,0,10,0.2409738072,5.767955558e-16
Austin,491,high_budget,2,0,10,0.05571252396,1.908195824e-17
Austin,492,high_budget,2,0,10,0.3034032203,8.153200337e-17
Chicago,145,high_budget,2,0,10,0.984614361,0
Chicago,146,high_budget,2,0,10,0.3208000127,3.973600962e-16
Chicago,147,high_budget,2,0,10,0.3041338285,3.486794187e-16
Chicago,149,high_budget,2,0,10,0.1301093721,1.102416769e-15
Chicago,150,high_budget,2,0,10,0.6926603314,1.153938056e-14
Chicago,152,high_budget,2,0,10,0.6027398565,5.22638573e-14
Chicago,153,high_budget,2,0,10,3.396254128,0
Chicago,154,high_budget,2,0,10,0.3631673658,0
Chicago,155,high_budget,2,0,10,1.137364606,1.564720575e-14
Chicago,156,high_budget,2,0,10,0.6258097076,6.222745843e-14
Chicago,157,high_budget,2,0,10,2.415466061,1.965441698e-15
Chicago,158,high_budget,2,0,10,1.950896642,0
Chicago,159,high_budget,2,0,10,1.201439058,0
Dallas,55,high_budget,2,0,10,1.044672806,1.409983241e-14
Dallas,56,high_budget,2,0,10,0.9389490441,1.240327285e-16
Dallas,57,high_budget,2,0,10,0.917467546,2.272834698e-14
Dallas,58,high_budget,2,0,10,1.05631666,2.12295459e-14
Dallas,59,high_budget,2,0,10,1.071713915,5.83907922e-15
Dallas,60,high_budget,2,0,10,1.204819625,5.551115123e-16
Dallas,61,high_budget,2,0,10,1.076485716,4.371503159e-16
Dallas,62,high_budget,2,0,10,0.3946000468,7.285838599e-17
Dallas,63,high_budget,2,0,10,0.6465630159,7.21644966e-16
Dallas,64,high_budget,2,0,10,0.8822802166,1.040834086e-17
Houston,52,high_budget,2,0,10,0.3009949336,1.523304052e-16
Houston,60,high_budget,2,0,10,1.248693018,8.828875131e-15
Houston,61,high_budget,2,0,10,1.290074137,0
Houston,62,high_budget,2,0,10,1.401703389,0
New York,98,high_budget,2,0,10,0.7192221984,4.45151728e-15
New York,99,high_budget,2,0,10,1.686382466,3.679348493e-15
New York,100,high_budget,2,0,10,1.884746819,2.120167106e-13
New York,101,high_budget,2,0,10,1.884746819,1.403824973e-13
New York,102,high_budget,2,0,10,3.622223378,1.775376721e-13
New York,103,high_budget,2,0,10,5.119042595,8.332353904e-14
New York,104,high_budget,2,0,10,8.342062527,1.913573466e-13
New York,105,high_budget,2,0,10,2.667063461,0
New York,106,high_budget,2,0,10,1.721992771,1.960237528e-16
New York,107,high_budget,2,0,10,5.373425328,1.191130528e-13
New York,108,high_budget,2,0,10,4.741923009,1.883077028e-13
New York,109,high_budget,2,0,10,11.64144755,8.701806636e-13
New York,110,high_budget,2,0,10,8.05762172,0
New York,111,high_budget,2,0,10,3.719471565,0
New York,112,high_budget,2,0,10,0.65411166,0
New York,113,high_budget,2,0,10,0.6398447343,0
New York,115,high_budget,2,0,10,0.3043415798,0
New York,116,high_budget,2,0,10,0.3043415798,1.491862189e-16
New York,117,high_budget,2,0,10,0.3043415798,1.075528555e-16
New York,119,high_budget,2,0,10,0.7692996132,7.771561172e-16
New York,120,high_budget,2,0,10,0.7692996132,0
New York,121,high_budget,2,0,10,7.015821289,0
New York,122,high_budget,2,0,10,4.743099901,0
New York,123,high_budget,2,0,10,3.325568786,2.216109241e-15
Philadelphia,640,high_budget,2,0,10,0.0825640467,5.355958732e-16
Philadelphia,641,high_budget,2,0,10,0.04365418886,1.734723476e-17
Philadelphia,642,high_budget,2,0,10,0.04209792011,0
Philadelphia,643,high_budget,2,0,10,0.2100906877,5.194629449e-15
Philadelphia,644,high_budget,2,0,10,1.010233884,1.313792825e-14
Philadelphia,645,high_budget,2,0,10,0.781371673,0
Philadelphia,646,high_budget,2,0,10,0.190727974,4.323798264e-15
Philadelphia,647,high_budget,2,0,10,0.1037647581,5.03069808e-17
Philadelphia,648,high_budget,2,0,10,0.8150834271,4.857225733e-16
Philadelphia,649,high_budget,2,0,10,0.6225881597,2.604253618e-16
Philadelphia,650,high_budget,2,0,10,0.2281780607,3.47335008e-15
Philadelphia,651,high_budget,2,0,10,0.8593460236,1.492556079e-14
Philadelphia,652,high_budget,2,0,10,0.7342764263,1.370735123e-14
Philadelphia,653,high_budget,2,0,10,0.3627605102,0
Philadelphia,654,high_budget,2,0,10,0.8531548708,7.285838599e-16
Philadelphia,655,high_budget,2,0,10,0.5953526607,0
Philadelphia,656,high_budget,2,0,10,1.371604117,6.595678864e-14
Philadelphia,657,high_budget,2,0,10,0.4714093599,5.724587471e-16
Philadelphia,658,high_budget,2,0,10,0.2498215294,0
Philadelphia,659,high_budget,2,0,10,0.4158062509,0
San Antonio,491,high_budget,2,0,10,0.2210080709,0
San Antonio,492,high_budget,2,0,10,0.3595226236,0
San Antonio,493,high_budget,2,0,10,0.3007858661,1.591608789e-16
San Antonio,494,high_budget,2,0,10,0.4120066611,1.952171064e-14
San Antonio,495,high_budget,2,0,10,0.1264896792,0
San Antonio,496,high_budget,2,0,10,0.4421712047,3.525825465e-16
San Antonio,497,high_budget,2,0,10,0.2845582754,2.13110779e-15
San Antonio,498,high_budget,2,0,10,0.2234028821,7.570333249e-15
San Antonio,499,high_budget,2,0,10,0.08159991511,0
San Antonio,500,high_budget,2,0,10,0.7633415767,7.225123277e-15
San Antonio,501,high_budget,2,0,10,0.6990649794,4.17721413e-15
San Antonio,502,high_budget,2,0,10,0.6591400965,2.964295476e-14
San Antonio,503,high_budget,2,0,10,0.2473392571,8.919080752e-15
San Antonio,504,high_budget,2,0,10,0.2441836292,1.055839444e-14
San Antonio,505,high_budget,2,0,10,0.3014784403,0
San Antonio,506,high_budget,2,0,10,0.02283117916,1.723881454e-17
San Antonio,507,high_budget,2,0,10,0.7120662713,0
San Antonio,508,high_budget,2,0,10,0.6526983558,0
San Antonio,509,high_budget,2,0,10,0.2429585326,1.049637807e-14
Austin,478,low_budget,0.5,0,10,0.07295715764,6.791442408e-16
Austin,479,low_budget,0.5,0,10,0.1013258718,6.938893904e-18
Austin,480,low_budget,0.5,0,10,0.0726455456,6.938893904e-18
Austin,481,low_budget,0.5,0,10,0.03121949667,2.26598254e-16
Austin,482,low_budget,0.5,0,10,0.1058700359,0
Austin,483,low_budget,0.5,0,10,0.05145277718,3.365363543e-16
Austin,484,low_budget,0.5,0,10,0.07148098493,0
Austin,485,low_budget,0.5,0,10,0.1063863006,0
Austin,486,low_budget,0.5,0,10,0.1441635112,0
Austin,487,low_budget,0.5,0,10,0.1239681507,9.540979118e-18
Austin,488,low_budget,0.5,0,10,0.04763736917,4.488596994e-16
Austin,489,low_budget,0.5,0,10,0.02220496831,2.381992173e-16
Austin,490,low_budget,0.5,0,10,0.06024345179,0
Austin,491,low_budget,0.5,0,10,0.01392813099,4.33680869e-19
