city,event_id,event_start,baseline_objective,recoverable_fraction,top_1pct_value_share,top_5pct_value_share,top_10pct_value_share,marginal_value_gini,optimizer_selected_value_share,loss_magnitude_rank,recoverable_rank,top_tail_rank,decision_criticality_score,decision_criticality_rank,event_peak_positive_abnormal_deficit,event_total_precip
Chicago,146,2019-07-02 23:00:00,0.04097771244,0.132369494,0.1027516403,0.3060040909,0.4640388675,0.6674731946,0.1566048407,0.2285714286,0.4952380952,0.8952380952,0.02703640669,0.8285714286,0.002347054096,0.0393701
Chicago,152,2019-07-17 19:00:00,0.02216888903,0.2680336809,0.06125485626,0.2009734551,0.3245754933,0.4998060266,0.4222033003,0.1238095238,1,0.219047619,0.02692337857,0.819047619,0.01334210144,0.27952771
Philadelphia,643,2023-07-08 16:00:00,0.0234280212,0.1703569651,0.08109075706,0.2578357089,0.4040052053,0.6063545603,0.1502742318,0.1428571429,0.8952380952,0.6285714286,0.02663358372,0.8095238095,0.003739478326,0.549212895
Philadelphia,646,2023-07-14 06:00:00,0.0218368079,0.1736460156,0.07504617941,0.2468537331,0.3957269181,0.6148903862,0.1310103854,0.1142857143,0.9238095238,0.5428571429,0.0263573792,0.8,0.003129179863,0.15354339
Philadelphia,655,2023-07-21 04:00:00,0.06696318033,0.1448335335,0.09133452261,0.2835229433,0.4384387574,0.6350955556,0.2641895743,0.3428571429,0.7047619048,0.8,0.02607932873,0.7904761905,0.01436661912,0.273622195
San Antonio,494,2024-07-12 13:00:00,0.1079999845,0.1286389832,0.09177893788,0.2963943264,0.4636301954,0.6779795057,0.2499178645,0.5523809524,0.4285714286,0.8666666667,0.02584991091,0.780952381,0.01986233264,0.03018374333
San Antonio,493,2024-07-10 17:00:00,0.07381571949,0.1331121895,0.09371643769,0.2920965052,0.4495860491,0.6441193486,0.2703026794,0.4095238095,0.5142857143,0.8285714286,0.02504439432,0.7714285714,0.0160701046,0.06692917
San Antonio,498,2024-07-21 19:00:00,0.05579872396,0.1322226481,0.09246132084,0.2906010348,0.448827703,0.6447541404,0.2549662337,0.2666666667,0.4857142857,0.819047619,0.02477405783,0.7619047619,0.01193186401,0.08792655667
San Antonio,503,2024-07-24 09:00:00,0.0637757722,0.1339534857,0.07989316735,0.2743818879,0.4413076324,0.6654649689,0.2080634847,0.3238095238,0.5238095238,0.7238095238,0.0244587725,0.7523809524,0.01448938751,0.00393701
Chicago,145,2019-07-02 20:00:00,0.1258245198,0.1181618565,0.1022337219,0.3026915667,0.459839713,0.6641299542,0.2257926493,0.6095238095,0.2476190476,0.8857142857,0.02375366875,0.7428571429,0.02501185643,1.16141795
Chicago,154,2019-07-20 05:00:00,0.02404835271,0.2164610453,0.07020591549,0.2097198289,0.3336295396,0.5230803083,0.2200333349,0.1523809524,0.980952381,0.2571428571,0.02374584437,0.7333333333,0.005706766028,0.01181103
New York,116,2019-06-20 04:00:00,0.02443910888,0.145082664,0.08638569112,0.2639729592,0.4068478746,0.6151850871,0.04894045062,0.1714285714,0.7238095238,0.6857142857,0.02356029704,0.7238095238,0.00338160594,0.01181103
Chicago,150,2019-07-16 04:00:00,0.08333075424,0.1313108172,0.08734031362,0.27626313,0.4286883345,0.6394743438,0.1829683065,0.4571428571,0.4571428571,0.7523809524,0.02319778704,0.7142857143,0.01441790021,0.05905515
