city,event_id,event_start,perturbation_id,unit,t,intervention,perturbed_u,perturbed_e,perturbed_cost
San Antonio,506,2024-07-27 11:00:00,0,33,7,S,0.0001744986918,7.11307863e-05,0.0001100964313
San Antonio,506,2024-07-27 11:00:00,0,42,1,S,0.001413144829,0.0005001389463,0.0008730323199
San Antonio,506,2024-07-27 11:00:00,0,42,3,S,0.0007378532834,0.0002681061614,0.0004449627806
San Antonio,506,2024-07-27 11:00:00,0,42,4,S,0.0002612422651,9.554866871e-05,0.0001713933074
San Antonio,506,2024-07-27 11:00:00,0,42,5,S,0.0001944183839,6.845902632e-05,0.0001321387934
San Antonio,506,2024-07-27 11:00:00,0,42,7,S,0.0001598108727,5.735774511e-05,9.875287443e-05
San Antonio,506,2024-07-27 11:00:00,0,42,8,S,6.870045241e-05,2.529992824e-05,4.50703494e-05
San Antonio,506,2024-07-27 11:00:00,0,42,9,S,5.086813257e-05,1.83783821e-05,3.214338035e-05
San Antonio,506,2024-07-27 11:00:00,0,44,2,C,0.002009942079,0.0006222799407,0.001697993005
San Antonio,506,2024-07-27 11:00:00,0,46,2,C,0.002556263035,0.0006944464893,0.001861403284
San Antonio,506,2024-07-27 11:00:00,0,46,5,C,0.0002363474343,6.626626608e-05,0.0001816970323
San Antonio,506,2024-07-27 11:00:00,0,46,6,C,6.196400238e-05,1.7458247e-05,4.884043893e-05
San Antonio,506,2024-07-27 11:00:00,0,5,2,C,0.00232964382,0.0006947104239,0.001978954097
San Antonio,506,2024-07-27 11:00:00,0,51,0,C,0.002804002894,0.0008870453278,0.002681916127
San Antonio,506,2024-07-27 11:00:00,0,51,1,C,0.001494008125,0.0004502180893,0.001409878665
San Antonio,506,2024-07-27 11:00:00,0,51,2,C,0.0002468101428,7.389488826e-05,0.000221343794
San Antonio,506,2024-07-27 11:00:00,0,51,4,C,0.0002390709517,7.319388966e-05,0.0002305760212
San Antonio,506,2024-07-27 11:00:00,0,51,5,C,9.019847702e-05,2.780771435e-05,8.465458355e-05
San Antonio,506,2024-07-27 11:00:00,0,51,6,C,6.482576701e-05,2.007623447e-05,6.213610183e-05
San Antonio,506,2024-07-27 11:00:00,0,51,7,C,4.74507588e-05,1.449436604e-05,4.450174462e-05
San Antonio,506,2024-07-27 11:00:00,0,51,8,C,3.359663038e-05,1.046444477e-05,3.162391111e-05
San Antonio,506,2024-07-27 11:00:00,0,57,0,C,0.002608695652,0.0007540500367,0.00291884101
San Antonio,506,2024-07-27 11:00:00,0,57,1,C,0.002608695652,0.0007119886181,0.002882270335
San Antonio,506,2024-07-27 11:00:00,0,57,2,C,0.0005224626667,0.0001415004374,0.0005503728933
San Antonio,506,2024-07-27 11:00:00,0,57,3,C,0.0003103008488,7.993349864e-05,0.000361064838
San Antonio,506,2024-07-27 11:00:00,0,57,4,R,0.0002533866381,5.888006846e-05,0.0003040639658
San Antonio,506,2024-07-27 11:00:00,0,57,5,C,0.0001364935473,3.82720445e-05,0.000150035746
San Antonio,506,2024-07-27 11:00:00,0,57,6,C,0.0001000060191,2.819169233e-05,0.0001121206256
San Antonio,506,2024-07-27 11:00:00,0,57,7,C,7.487454829e-05,2.076637208e-05,8.224686742e-05
San Antonio,506,2024-07-27 11:00:00,0,57,8,C,5.389781759e-05,1.529678333e-05,5.940771934e-05
San Antonio,506,2024-07-27 11:00:00,0,57,9,C,3.909602072e-05,1.126781218e-05,4.329828997e-05
San Antonio,506,2024-07-27 11:00:00,0,62,1,S,0.0003827010127,0.0001491425744,0.0002482383972
San Antonio,506,2024-07-27 11:00:00,0,62,3,S,0.0008337650768,0.000333125721,0.0005278436669
San Antonio,506,2024-07-27 11:00:00,0,62,4,S,0.0002344442104,9.425380632e-05,0.0001615449638
San Antonio,506,2024-07-27 11:00:00,0,62,7,S,0.0001777735937,7.020441987e-05,0.0001153391949
San Antonio,506,2024-07-27 11:00:00,0,69,2,C,0.002408547623,0.0006826963739,0.001817783509
San Antonio,506,2024-07-27 11:00:00,0,69,5,C,5.025824611e-05,1.468105428e-05,3.995696559e-05
San Antonio,506,2024-07-27 11:00:00,0,76,0,C,0.0003513960157,0.0001196603849,0.0003335725424
San Antonio,506,2024-07-27 11:00:00,0,76,1,C,0.002830517358,0.0009218106269,0.002651241263
San Antonio,506,2024-07-27 11:00:00,0,76,2,C,0.0002165489899,7.01050128e-05,0.0001928077222
San Antonio,506,2024-07-27 11:00:00,0,76,4,C,0.0002093343019,6.91711867e-05,0.0002003721361
San Antonio,506,2024-07-27 11:00:00,0,76,5,C,7.872865554e-05,2.618114379e-05,7.334157536e-05
San Antonio,506,2024-07-27 11:00:00,0,76,6,C,5.645960599e-05,1.885392595e-05,5.371016661e-05
San Antonio,506,2024-07-27 11:00:00,0,76,7,C,4.117565703e-05,1.357734889e-05,3.833028748e-05
San Antonio,506,2024-07-27 11:00:00,0,76,8,C,2.91259334e-05,9.777507528e-06,2.721195259e-05
San Antonio,506,2024-07-27 11:00:00,0,82,1,C,0.002854006876,0.0008684921863,0.00234084213
San Antonio,506,2024-07-27 11:00:00,0,82,2,C,0.0004525489456,0.0001368467238,0.0003504520463
San Antonio,506,2024-07-27 11:00:00,0,82,4,C,0.0002128795302,6.578669851e-05,0.0001789248384
San Antonio,506,2024-07-27 11:00:00,0,82,5,C,7.976993768e-05,2.481883215e-05,6.502532233e-05
San Antonio,506,2024-07-27 11:00:00,0,82,6,C,5.70654063e-05,1.783329153e-05,4.76311656e-05
San Antonio,506,2024-07-27 11:00:00,0,82,7,C,4.155688365e-05,1.281391021e-05,3.384769786e-05
San Antonio,506,2024-07-27 11:00:00,0,89,2,C,0.002015973834,0.0006607629732,0.001574397958
San Antonio,506,2024-07-27 11:00:00,0,95,0,C,0.002753675807,0.0009006068729,0.002744988132
San Antonio,506,2024-07-27 11:00:00,0,95,1,C,0.001588202474,0.0004951723116,0.00156242501
San Antonio,506,2024-07-27 11:00:00,0,95,2,C,0.0002634891737,8.1628034e-05,0.0002465681351
San Antonio,506,2024-07-27 11:00:00,0,95,3,C,0.0002010095916,5.922455634e-05,0.000208757386
San Antonio,506,2024-07-27 11:00:00,0,95,4,C,0.0001356886679,4.29698953e-05,0.0001363729597
