city,unit,t,p,b,rC,d,rS,ell,weighted_loss,scenario
Austin,63,6,0.02282223947157894,0.06907140480074221,0.013499746151720941,0.05557165864902127,0.0,0.05872307889797107,0.0013401921691179198,delayed_response
Austin,16,6,0.05100623270149336,0.06148138437843923,0.011222617997599993,0.05025876638083924,0.004863263962736576,0.05407142497918334,0.002757979684989566,delayed_response
Austin,80,6,0.039080396500033844,0.06190128208416643,0.0,0.06190128208416643,0.00464158451570338,0.0555159670709945,0.002169586005217288,delayed_response
Austin,165,6,0.02942483594833732,0.06753913809201713,0.0,0.06753913809201713,0.0,0.061532523715884704,0.001810584415827083,delayed_response
Austin,177,6,0.04394081163246698,0.0581159080107438,0.0,0.0581159080107438,0.004466618316301027,0.0541024866275048,0.002377307173747252,delayed_response
Austin,14,6,0.03330044768852163,0.0633948945682097,0.0,0.0633948945682097,0.0,0.06127408183849893,0.002040454356925127,delayed_response
Austin,105,6,0.025689031582639753,0.06718085881688857,0.0013163614427877607,0.0658644973741008,0.0,0.06166856426332094,0.0015842056950165007,delayed_response
Austin,184,6,0.0333430918620842,0.06038647357806695,0.0,0.06038647357806695,0.0,0.05969377671049162,0.0019903750804526645,delayed_response
Austin,144,6,0.0227947421056781,0.06646000545545211,0.0,0.06646000545545211,0.0,0.061912456233959044,0.0014112784729821788,delayed_response
Austin,3,6,0.017022245871283932,0.0694121189032536,0.0,0.0694121189032536,0.0,0.0635880134077404,0.0010824107986930564,delayed_response
Austin,167,6,0.023834286304811797,0.06470991563166661,0.0,0.06470991563166661,0.0,0.060988293580005445,0.001453612450427765,delayed_response
Austin,125,6,0.03403835624063424,0.057753204761360796,0.0,0.057753204761360796,0.0,0.05943539266047616,0.002023083068679265,delayed_response
Austin,128,6,0.019091927492800653,0.06696552805651565,0.0,0.06696552805651565,0.0,0.062155214934927754,0.0011866628568370809,delayed_response
Austin,114,6,0.02636147181034369,0.06222006985169164,0.0,0.06222006985169164,0.0,0.060469841758506684,0.0015940740288928176,delayed_response
Austin,12,6,0.03073707208611477,0.05780172828193191,0.0,0.05780172828193191,0.0,0.059682268190850145,0.0018344581796449955,delayed_response
Austin,183,6,0.01266946119720935,0.06895075849476207,0.0,0.06895075849476207,0.0,0.06374097178294084,0.0008075637686763851,delayed_response
Austin,205,6,0.0446933347994433,0.04912965484886669,0.0,0.04912965484886669,0.004023019427923247,0.052438325973630864,0.0023436436590618275,delayed_response
Austin,89,6,0.02043906094631183,0.06220338807257845,0.0,0.06220338807257845,0.0,0.06205866024855561,0.0012684207390666873,delayed_response
Austin,118,6,0.03554850136382571,0.05293739660404232,0.0,0.05293739660404232,0.0,0.05809820847849032,0.0020653042433334437,delayed_response
Austin,91,6,0.023357353056226104,0.059865108157853925,0.0,0.059865108157853925,0.0,0.059117242957693286,0.0013808223154735384,delayed_response
Austin,201,6,0.02768637701317971,0.057132230799638174,0.0,0.057132230799638174,0.0,0.058379084844892355,0.0016163053527000956,delayed_response
Austin,73,6,0.020764376566966773,0.06115470804021609,0.0,0.06115470804021609,0.0,0.06068101084891123,0.001260003359730989,delayed_response
Austin,159,6,0.042770795865163774,0.048215619234929875,0.0,0.048215619234929875,0.003975416715786279,0.05318857671082106,0.0022749177568571317,delayed_response
Austin,97,6,0.035517830881075005,0.05171698852064102,0.0,0.05171698852064102,0.0006997239413391031,0.05619407281080662,0.0019958915746130447,delayed_response
Austin,59,6,0.03528372307758902,0.0509643081981902,0.0,0.0509643081981902,0.0,0.058522927794874606,0.002064906778004093,delayed_response
Austin,7,6,0.02684519664208184,0.05511183979977207,0.0,0.05511183979977207,0.0,0.058515500964743374,0.0015708601300084655,delayed_response
Austin,98,6,0.03459572547355847,0.050661557882736755,0.0,0.050661557882736755,0.0,0.05795418168106557,0.002004966959482876,delayed_response
Austin,163,6,0.03134480783886641,0.052449608583713385,0.0,0.052449608583713385,0.0,0.057632579893445154,0.0018064821420181543,delayed_response
Austin,39,6,0.019836339935300068,0.05862404372526774,0.0,0.05862404372526774,0.0,0.06051126988124386,0.001200322119281038,delayed_response
Austin,40,6,0.023784810265494078,0.05620683671752444,0.0,0.05620683671752444,0.0,0.05970616223958347,0.0014200997405492998,delayed_response
Austin,2,6,0.017800372231019816,0.05978687959750381,0.0,0.05978687959750381,0.0,0.06022975999147319,0.0010721121472332077,delayed_response
Austin,35,6,0.020264322207019018,0.057929788645657135,0.0,0.057929788645657135,0.0,0.05934082270889266,0.001202501551402592,delayed_response
Austin,42,6,0.03175226407926154,0.050967994747889815,0.0,0.050967994747889815,0.0,0.05769614033740552,0.001831983084347434,delayed_response
Austin,67,6,0.017347183686504664,0.059257252838017326,0.0,0.059257252838017326,0.0,0.059889493833592995,0.0010389140504231261,delayed_response
Austin,120,6,0.02521097357508036,0.05430731681003923,0.0,0.05430731681003923,0.0,0.058864714116439475,0.0014840367520942155,delayed_response
Austin,63,7,0.02282223947157894,0.055943250814480865,0.014526444372521128,0.04141680644195973,0.0,0.04996587601339905,0.0011403331877850153,delayed_response
Austin,16,7,0.05100623270149336,0.05618069341543545,0.012076133449028479,0.04410455996640697,0.004977637304408075,0.04788010960864699,0.0024421840124716565,delayed_response
Austin,80,7,0.039080396500033844,0.05627159005037238,0.0,0.05627159005037238,0.004750744441173054,0.0488458367572656,0.001908914667849867,delayed_response
Austin,165,7,0.02942483594833732,0.06175585065917715,0.0,0.06175585065917715,0.0,0.05494084929114973,0.0016166254772544055,delayed_response
Austin,177,7,0.04394081163246698,0.05261351463574919,0.0,0.05261351463574919,0.004571663419079905,0.04711599726175659,0.002070315160554676,delayed_response
Austin,14,7,0.03330044768852163,0.05772039867558113,0.0,0.05772039867558113,0.0,0.055497346173266446,0.0018480864730946354,delayed_response
Austin,105,7,0.025689031582639753,0.06140609246299974,0.0008556349378120445,0.060550457525187694,0.0,0.05559175462429675,0.001428098340277919,delayed_response
Austin,184,7,0.0333430918620842,0.05480532958656294,0.0,0.05480532958656294,0.0,0.05403428733219016,0.001801670206219469,delayed_response
Austin,144,7,0.0227947421056781,0.060702884970420055,0.0,0.060702884970420055,0.0,0.05597888707207101,0.0012760242941707365,delayed_response
Austin,3,7,0.017022245871283932,0.06358695276979853,0.0,0.06358695276979853,0.0,0.05769412108737821,0.000982083514476979,delayed_response
Austin,167,7,0.023834286304811797,0.05899845212303123,0.0,0.05899845212303123,0.0,0.05482634446395259,0.0013067467910000794,delayed_response
Austin,125,7,0.03403835624063424,0.05226406654008682,0.0,0.05226406654008682,0.0,0.05326682928678732,0.0018131153110727159,delayed_response
Austin,128,7,0.019091927492800653,0.061195962486322336,0.0,0.061195962486322336,0.0,0.056333826925912975,0.0010755213390615116,delayed_response
Austin,114,7,0.02636147181034369,0.05658056144964174,0.0,0.05658056144964174,0.0,0.054030820325792886,0.001424331946908134,delayed_response
Austin,12,7,0.03073707208611477,0.05231080585588306,0.0,0.05231080585588306,0.0,0.0539584543796523,0.001658524901922708,delayed_response
Austin,183,7,0.01266946119720935,0.06313549500396583,0.0,0.06313549500396583,0.0,0.05787031350948817,0.0007331856914788003,delayed_response
Austin,205,7,0.0446933347994433,0.044013049022217005,0.0,0.044013049022217005,0.004117632054156685,0.04678940495141416,0.002091174540560283,delayed_response
Austin,89,7,0.02043906094631183,0.056564389920207396,0.0,0.056564389920207396,0.0,0.056303715283475456,0.0011507950681827438,delayed_response
Austin,118,7,0.03554850136382571,0.0476424252729138,0.0,0.0476424252729138,0.0,0.05249347067427932,0.0018660642138565633,delayed_response
Austin,91,7,0.023357353056226104,0.05430140718945776,0.0,0.05430140718945776,0.0,0.051950220106961376,0.001213419632386953,delayed_response
Austin,201,7,0.02768637701317971,0.05166622388815795,0.0,0.05166622388815795,0.0,0.05279038392367454,0.0014615744719813546,delayed_response
Austin,73,7,0.020764376566966773,0.05554854842422253,0.0,0.05554854842422253,0.0,0.054624945217972745,0.001134252932455917,delayed_response
Austin,159,7,0.042770795865163774,0.043145231775966436,0.0,0.043145231775966436,0.0040689098302470784,0.04627879380233403,0.001979380842605635,delayed_response
Austin,97,7,0.035517830881075005,0.04647673377984132,0.0,0.04647673377984132,0.00031487577360259637,0.051061711733069004,0.0018136012418333482,delayed_response
Austin,59,7,0.03528372307758902,0.04575894303227065,0.0,0.04575894303227065,0.0,0.05286915922305669,0.0018654207733712939,delayed_response
Austin,7,7,0.02684519664208184,0.04972496154992336,0.0,0.04972496154992336,0.0,0.05153770555334908,0.0013835398400613692,delayed_response
Austin,98,7,0.03459572547355847,0.04547047479823332,0.0,0.04547047479823332,0.0,0.05197079933885444,0.0017979675065684024,delayed_response
Austin,163,7,0.03134480783886641,0.047176233691977286,0.0,0.047176233691977286,0.0,0.05206079399610313,0.0016318355837466627,delayed_response
Austin,39,7,0.019836339935300068,0.05310339539335114,0.0,0.05310339539335114,0.0,0.05426459940179977,0.001076411040186981,delayed_response
Austin,40,7,0.023784810265494078,0.050776333648664,0.0,0.050776333648664,0.0,0.053755883294773134,0.0012785734848202216,delayed_response
Austin,2,7,0.017800372231019816,0.05422582856227711,0.0,0.05422582856227711,0.0,0.05454422263752117,0.0009709074659994943,delayed_response
Austin,35,7,0.020264322207019018,0.05243417361997827,0.0,0.05243417361997827,0.0,0.05361899574257791,0.0010865526061443797,delayed_response
Austin,42,7,0.03175226407926154,0.04576245655231027,0.0,0.04576245655231027,0.0,0.05210951491888454,0.0016545950787466407,delayed_response
Austin,67,7,0.017347183686504664,0.05371436782333033,0.0,0.05371436782333033,0.0,0.05422330005228392,0.0009406215460954271,delayed_response
Austin,120,7,0.02521097357508036,0.04895361870425436,0.0,0.04895361870425436,0.0,0.05318982030326366,0.001340967154128853,delayed_response
Austin,63,8,0.02282223947157894,0.04367053631093046,0.015193798216041249,0.02847673809488921,0.0,0.042123417423147,0.0009613507197923415,delayed_response
Austin,16,8,0.05100623270149336,0.051337007852835806,0.007849486741868512,0.04348752111096729,0.00502910530816025,0.04341507245634938,0.0022144392884607517,delayed_response
Austin,80,8,0.039080396500033844,0.05115389762835166,0.0,0.05115389762835166,0.004799866407634408,0.04299159176178553,0.0016801284522181671,delayed_response
