city,unit,t,intervention,u,e,cost,effective_cost,scenario
Chicago,47,3,S,0.0,0.0,0.7064057181645281,0.0,base
Chicago,140,3,R,0.0,0.0,1.343133414580309,0.0,base
Chicago,140,3,C,0.0,0.0,0.9133307219146103,0.0,base
Chicago,140,3,S,0.0,0.0,0.6984293755817608,0.0,base
Chicago,627,3,R,0.0,0.0,1.3305432313783172,0.0,base
Chicago,627,3,C,0.0,0.0,0.9047693973372557,0.0,base
Chicago,627,3,S,0.0,0.0,0.691882480316725,0.0,base
Chicago,242,3,R,0.0,0.0,1.3409320271737193,0.0,base
Chicago,242,3,C,0.0,0.0,0.9118337784781291,0.0,base
Chicago,242,3,S,0.0,0.0,0.6972846541303341,0.0,base
Chicago,393,3,R,0.0,0.0,1.3212233432277032,0.0,base
Chicago,393,3,C,0.0,0.0,0.8984318733948381,0.0,base
Chicago,393,3,S,0.0,0.0,0.6870361384784057,0.0,base
Chicago,562,3,R,0.0,0.0,1.348883083481087,0.0,base
Chicago,562,3,C,0.0,0.0,0.917240496767139,0.0,base
Chicago,562,3,S,0.0,0.0,0.7014192034101653,0.0,base
Chicago,209,3,R,0.0,0.0,1.4148494788342247,0.0,base
Chicago,209,3,C,0.0,0.0,0.9620976456072728,0.0,base
Chicago,209,3,S,0.0,0.0,0.7357217289937968,0.0,base
Chicago,306,3,R,0.0,0.0,1.298886720725085,0.0,base
Chicago,306,3,C,0.0,0.0,0.8832429700930576,0.0,base
