comparison,observed_model,baseline_or_shuffled_model,city,event_id,top_5pct_value_capture_observed,top_5pct_value_capture_baseline,delta_top5_capture,top_5pct_ndcg_observed,top_5pct_ndcg_baseline,delta_top5_ndcg
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,490,0.9553460833,0.6727859559,0.2825601274,0.9640456016,0.6640011666,0.300044435
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,491,0.9630423339,0.6870528236,0.2759895103,0.9697031125,0.6929069214,0.2767961912
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Austin,492,0.9553460834,0.6775351309,0.2778109525,0.9640456016,0.6836426811,0.2804029205
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,145,0.9962060789,0.6093535825,0.3868524964,0.9967593467,0.5879578907,0.408801456
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,146,0.997583014,0.6424668779,0.3551161361,0.9977954969,0.6220458815,0.3757496153
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,147,0.997583014,0.6424668779,0.3551161361,0.9977954969,0.6221870453,0.3756084516
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,149,0.9977090408,0.6291822911,0.3685267497,0.9978856337,0.6305417238,0.3673439099
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,150,0.9080549244,0.4833669103,0.4246880142,0.8705448158,0.4626177664,0.4079270494
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,152,0.9244682292,0.5483760617,0.3760921675,0.8859584693,0.5237631502,0.362195319
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,153,0.9953012683,0.6156885871,0.3796126812,0.9961623789,0.5955720981,0.4005902808
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,154,0.9917621414,0.6293291946,0.3624329468,0.9935844425,0.6090016112,0.3845828312
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,155,0.9962060789,0.6093535825,0.3868524964,0.9967593467,0.5879599306,0.4087994161
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,156,0.7590394171,0.5533777628,0.2056616542,0.7368605023,0.5272477073,0.2096127951
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,157,0.9962017973,0.6211573792,0.3750444181,0.99681702,0.5977291491,0.399087871
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,158,0.9955035545,0.616859095,0.3786444595,0.9963156084,0.5918904268,0.4044251816
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Chicago,159,0.9948163987,0.5996027827,0.3952136159,0.995781231,0.5813610886,0.4144201424
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Dallas,55,0.9270453134,0.7148631908,0.2121821226,0.8861428443,0.6976757684,0.1884670758
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Dallas,56,0.9270453133,0.7213439285,0.2057013848,0.8861438575,0.7034588848,0.1826849727
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Dallas,57,0.9270453134,0.6687867854,0.2582585279,0.8861428443,0.6249146101,0.2612282341
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Dallas,58,0.9270453133,0.7024623377,0.2245829757,0.8861428443,0.6851336142,0.2010092301
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Dallas,59,0.9270453134,0.7169342104,0.210111103,0.8861428442,0.6992075297,0.1869353146
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Dallas,60,0.9270453134,0.7060705193,0.220974794,0.8861438576,0.6687208966,0.2174229609
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Dallas,61,0.9270453134,0.7154367357,0.2116085777,0.8861428443,0.698687225,0.1874556193
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Dallas,62,0.9270453134,0.7133599583,0.213685355,0.8861438576,0.6918033354,0.1943405222
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Dallas,63,0.9270453134,0.7108363833,0.2162089301,0.8861438576,0.6920201223,0.1941237353
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Dallas,64,0.9270453134,0.7077135081,0.2193318053,0.8861428443,0.6579874425,0.2281554018
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Houston,52,0.9234859503,0.4776830799,0.4458028704,0.9421657952,0.4518303676,0.4903354276
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Houston,60,0.9943216915,0.5639802361,0.4303414553,0.9952681715,0.5380940728,0.4571740987
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Houston,61,0.9943216915,0.5571268316,0.4371948599,0.9952681715,0.5322316488,0.4630365227
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,Houston,62,0.9943216915,0.5654454882,0.4288762032,0.9952681715,0.5395255212,0.4557426503
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,98,0.9819347315,0.5557813529,0.4261533786,0.9838547564,0.5207056905,0.4631490658
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,99,0.9478062695,0.5301735675,0.417632702,0.9121608512,0.4959500642,0.416210787
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,100,0.9655899388,0.4855123127,0.4800776261,0.9379317924,0.453923779,0.4840080133
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,101,0.9794636932,0.5798176849,0.3996460083,0.9241575846,0.5511402604,0.3730173241
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,102,0.9776894636,0.6278322402,0.3498572235,0.9212850108,0.6182598758,0.3030251351
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,103,0.9794636932,0.5972208512,0.3822428419,0.9241575846,0.5633225053,0.3608350793
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,104,0.9791634831,0.5809868339,0.3981766492,0.9276705346,0.544210119,0.3834604156
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,105,0.9983512039,0.6319799434,0.3663712605,0.9977311137,0.5967237407,0.401007373
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,106,0.9445787988,0.5697896426,0.3747891562,0.9076035792,0.5299190869,0.3776844924
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,107,0.9782314642,0.5769924487,0.4012390155,0.9248273889,0.542438651,0.382388738
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,108,0.9784402032,0.5789567375,0.3994834657,0.9276764769,0.5425448332,0.3851316436
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,109,0.9791690263,0.5756714285,0.4034975978,0.9260521153,0.5385491665,0.3875029488
exposure_alignment,G4_local_plus_observed_exposure,G5_local_plus_shuffled_exposure,New York,110,0.9776894636,0.6317798674,0.3459095963,0.9212850108,0.6279287179,0.293356293
