score_id,selected_cost_capture_top20pct_actions,selected_action_recall_top20pct_actions,selected_cost_capture_top5pct_actions,finite_value_capture_top20pct_actions,small_signal_value_capture_top20pct_actions,top5pct_units_footprint_mass,top5pct_units_selected_share,top5pct_units_count,mean_top5pct_unit_footprint_rank,mean_top5pct_unit_small_signal_rank,mean_top5pct_unit_finite_rank,city,event_id,event_start,v34_delta_finite_top5pct_units_footprint_mass,v35_delta_selected_unit_footprint_mass
activation_x_footprint,0.954235577275339,0.8637602179836512,0.8182559269581567,0.5076714932848935,0.4001295471316964,0.1616096137842668,0.9555555555555556,45,0.8754598135550516,0.9679012345679012,0.9617283950617284,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_0p1_footprint,0.9999999999999999,1.0,0.9999999999999999,0.6071081785022971,0.48390440535650436,0.1475386771990226,1.0,45,0.7863945578231293,0.9747039556563365,0.9569664902998236,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_0p1_finite,0.9999999999999999,1.0,0.9999999999999999,0.604997524170499,0.4840177559162618,0.09485364252476432,1.0,45,0.7609473418997229,0.9749811035525321,0.9524817334341144,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
activation_plus_0p1_footprint,0.9999999999999999,1.0,0.9999999999999999,0.6071081785022971,0.48390440535650436,0.1475386771990226,1.0,45,0.7863945578231293,0.9747039556563365,0.9569664902998236,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_0p25_footprint,0.9999999999999999,1.0,0.9919844233733772,0.6123116140408368,0.48296055173921815,0.14898855707453926,1.0,45,0.7988662131519274,0.974426807760141,0.9587553539934492,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_0p25_finite,1.0000000000000002,1.0,1.0000000000000002,0.6058574522251025,0.4837636194751098,0.09621695109235513,1.0,45,0.7781053162005542,0.9749055177626605,0.9550768455530362,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
activation_plus_0p25_footprint,0.9999999999999999,1.0,0.9919844233733772,0.6123116140408368,0.48296055173921815,0.14898855707453926,1.0,45,0.7988662131519274,0.974426807760141,0.9587553539934492,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_0p5_footprint,1.0,1.0,0.9769240208209823,0.6152066892643768,0.48062205355190196,0.15521811911641112,0.9555555555555556,45,0.8230032753842277,0.973167044595616,0.962610229276896,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_0p5_finite,0.9999999999999999,1.0,0.9999999999999999,0.6086401485185209,0.48327570586354346,0.1474597471129992,1.0,45,0.7853867472915091,0.974678760393046,0.9576215671453766,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
activation_plus_0p5_footprint,1.0,1.0,0.9769240208209823,0.6152066892643768,0.48062205355190196,0.15521811911641112,0.9555555555555556,45,0.8230032753842277,0.973167044595616,0.962610229276896,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_1p0_footprint,1.0,1.0,0.9523464590820715,0.6138399396378575,0.47459489615903955,0.16190763479489909,0.9555555555555556,45,0.8652557319223986,0.9706223230032753,0.964877802973041,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_1p0_finite,1.0,1.0,1.0,0.6088186211840133,0.48223820325099287,0.1474597471129992,1.0,45,0.7853867472915091,0.974678760393046,0.9576215671453766,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
activation_plus_1p0_footprint,1.0,1.0,0.9523464590820715,0.6138399396378575,0.47459489615903955,0.16190763479489909,0.9555555555555556,45,0.8652557319223986,0.9706223230032753,0.964877802973041,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_2p0_footprint,0.9997634375005208,0.9990917347865577,0.9321354691088045,0.6104545639248609,0.4659954150519191,0.166712966638672,0.9111111111111111,45,0.881657848324515,0.9687326782564879,0.9661627614008567,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_2p0_finite,1.0,1.0,0.9984687977108487,0.6081483329713333,0.48095532088046344,0.1474597471129992,1.0,45,0.7853867472915091,0.974678760393046,0.9576215671453766,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
activation_plus_2p0_footprint,0.9997634375005208,0.9990917347865577,0.9321354691088045,0.6104545639248609,0.4659954150519191,0.166712966638672,0.9111111111111111,45,0.881657848324515,0.9687326782564879,0.9661627614008567,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_4p0_footprint,0.9800205041083103,0.9482288828337875,0.8990908761331733,0.5985214564491255,0.4548029180255728,0.166712966638672,0.9111111111111111,45,0.881657848324515,0.9687326782564879,0.9661627614008567,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_plus_4p0_finite,1.0,1.0,0.9957238444945087,0.6066658656537091,0.47919964912449003,0.14890962698851587,1.0,45,0.7978584026203073,0.9744016124968505,0.9594104308390023,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
activation_plus_4p0_footprint,0.9800205041083103,0.9482288828337875,0.8990908761331733,0.5985214564491255,0.4548029180255728,0.166712966638672,0.9111111111111111,45,0.881657848324515,0.9687326782564879,0.9661627614008567,Chicago,157,2019-07-29 10:00:00,0.2584673444961067,-0.0007037776502097
small_signal,0.9999999999999998,1.0,0.9999999999999998,0.4631917845435168,0.4354797765018345,0.02187968444996176,1.0,19,0.5197008915731953,0.9754098360655736,0.9377336784584412,Dallas,64,2019-04-30 18:00:00,0.3696004116773997,0.0
finite_value,0.7457514756604224,0.8169014084507042,0.22467174108136845,0.5778284170498955,0.3743265179498927,0.39046713453921755,0.42105263157894735,19,0.9045153868277251,0.7437446074201899,0.9754098360655739,Dallas,64,2019-04-30 18:00:00,0.3696004116773997,0.0
footprint_only,0.2196039710898048,0.24882629107981222,0.00475190930351783,0.33900768551102306,0.215810311352782,0.6324827699789639,0.05263157894736842,19,0.9754098360655736,0.4633304572907678,0.8838078803566292,Dallas,64,2019-04-30 18:00:00,0.3696004116773997,0.0
small_x_finite_rank,0.9999999999999998,1.0,0.9938204306080383,0.48679928517863297,0.4245981509741834,0.023367457976023694,1.0,19,0.5579522576934138,0.9748346275524878,0.9407535231521426,Dallas,64,2019-04-30 18:00:00,0.3696004116773997,0.0
small_x_footprint_rank,0.7627135304322594,0.7652582159624414,0.6382248163501851,0.47188407364189344,0.3776558732849427,0.09569734883122012,0.7368421052631579,19,0.8169398907103825,0.9305435720448664,0.9535519125683061,Dallas,64,2019-04-30 18:00:00,0.3696004116773997,0.0
finite_x_small_rank,0.9873822616032092,0.9906103286384976,0.31181049439593633,0.5574685898914666,0.400009750233931,0.22926125120050206,0.7368421052631579,19,0.7598504457865976,0.9040839804429106,0.966206499856198,Dallas,64,2019-04-30 18:00:00,0.3696004116773997,0.0
